-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/05/2010 through 05/05/2025 in LST
Location: Latitude  50.4888   Longitude -4.0795 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M
2010,5,5,0,0.0,7.04,5.98
2010,5,5,1,0.0,6.88,5.79
2010,5,5,2,0.0,6.81,5.8
2010,5,5,3,0.0,6.56,5.46
2010,5,5,4,0.0,6.49,5.27
2010,5,5,5,34.17,6.7,5.11
2010,5,5,6,118.62,7.55,5.04
2010,5,5,7,257.02,8.78,5.03
2010,5,5,8,409.35,9.97,4.79
2010,5,5,9,510.3,10.86,4.41
2010,5,5,10,586.4,11.64,4.1
2010,5,5,11,580.25,12.25,4.13
2010,5,5,12,634.72,12.41,4.51
2010,5,5,13,477.12,12.19,5.13
2010,5,5,14,390.52,11.67,5.63
2010,5,5,15,318.67,10.91,5.82
2010,5,5,16,209.52,10.37,5.79
2010,5,5,17,126.57,10.03,5.57
2010,5,5,18,49.35,9.72,5.04
2010,5,5,19,8.93,9.35,4.22
2010,5,5,20,0.0,9.05,3.82
2010,5,5,21,0.0,8.98,3.69
2010,5,5,22,0.0,9.06,3.73
2010,5,5,23,0.0,9.06,3.54
2010,5,6,0,0.0,8.99,3.26
2010,5,6,1,0.0,8.87,3.05
2010,5,6,2,0.0,8.83,3.07
2010,5,6,3,0.0,8.77,3.05
2010,5,6,4,0.0,8.52,2.74
2010,5,6,5,9.57,8.59,2.85
2010,5,6,6,29.52,9.16,3.45
2010,5,6,7,57.1,9.64,3.32
2010,5,6,8,121.15,10.25,3.03
2010,5,6,9,207.98,11.14,2.92
2010,5,6,10,323.88,11.89,2.83
2010,5,6,11,412.15,12.02,2.77
2010,5,6,12,458.8,12.33,2.62
2010,5,6,13,450.02,12.78,2.42
2010,5,6,14,438.8,12.92,2.28
2010,5,6,15,358.17,12.9,2.37
2010,5,6,16,259.77,12.64,2.52
2010,5,6,17,150.6,12.3,2.5
2010,5,6,18,59.62,11.69,1.98
2010,5,6,19,10.02,10.29,1.88
2010,5,6,20,0.0,9.43,2.12
2010,5,6,21,0.0,8.82,2.3
2010,5,6,22,0.0,8.26,2.43
2010,5,6,23,0.0,7.89,2.54
2010,5,7,0,0.0,7.71,3.03
2010,5,7,1,0.0,7.45,3.88
2010,5,7,2,0.0,6.98,4.37
2010,5,7,3,0.0,6.53,4.82
2010,5,7,4,0.0,6.07,5.24
2010,5,7,5,30.25,5.9,5.59
2010,5,7,6,111.0,6.28,5.82
2010,5,7,7,217.02,6.99,5.92
2010,5,7,8,358.95,8.04,6.04
2010,5,7,9,496.1,9.16,6.09
2010,5,7,10,475.65,9.94,6.08
2010,5,7,11,436.35,10.32,6.06
2010,5,7,12,414.88,10.21,6.05
2010,5,7,13,472.65,10.2,5.9
2010,5,7,14,398.48,10.37,5.58
2010,5,7,15,348.85,10.48,5.36
2010,5,7,16,279.58,10.39,5.29
2010,5,7,17,163.2,10.18,5.01
2010,5,7,18,68.35,9.62,4.24
2010,5,7,19,10.07,8.31,3.7
2010,5,7,20,0.0,7.58,4.06
2010,5,7,21,0.0,7.49,4.7
2010,5,7,22,0.0,7.45,5.61
2010,5,7,23,0.0,7.02,6.42
2010,5,8,0,0.0,6.44,6.89
2010,5,8,1,0.0,5.74,6.6
2010,5,8,2,0.0,5.14,5.96
2010,5,8,3,0.0,5.16,5.83
2010,5,8,4,0.0,5.17,5.59
2010,5,8,5,23.05,5.49,5.75
2010,5,8,6,45.28,6.17,6.03
2010,5,8,7,104.05,6.85,6.35
2010,5,8,8,158.82,7.72,6.48
2010,5,8,9,246.35,8.57,6.54
2010,5,8,10,277.73,9.27,6.57
2010,5,8,11,324.27,9.9,6.56
2010,5,8,12,386.15,10.51,6.52
2010,5,8,13,344.55,11.02,6.4
2010,5,8,14,246.32,11.25,6.25
2010,5,8,15,198.52,11.12,6.36
2010,5,8,16,143.27,10.66,6.55
2010,5,8,17,79.0,9.78,6.51
2010,5,8,18,32.05,8.89,6.28
2010,5,8,19,9.0,8.14,6.34
2010,5,8,20,0.0,7.63,6.74
2010,5,8,21,0.0,7.22,6.81
2010,5,8,22,0.0,6.91,6.74
2010,5,8,23,0.0,6.63,6.67
2010,5,9,0,0.0,6.38,6.53
2010,5,9,1,0.0,6.16,6.35
2010,5,9,2,0.0,5.95,6.2
2010,5,9,3,0.0,5.8,6.29
2010,5,9,4,0.0,5.66,6.42
2010,5,9,5,25.02,5.64,6.46
2010,5,9,6,87.2,5.99,7.09
2010,5,9,7,185.7,6.71,7.51
2010,5,9,8,297.55,7.81,7.54
2010,5,9,9,459.2,8.77,7.26
2010,5,9,10,441.45,9.62,6.84
2010,5,9,11,522.35,10.21,6.38
2010,5,9,12,459.5,10.72,6.08
2010,5,9,13,401.33,11.36,5.92
2010,5,9,14,309.15,11.48,5.83
2010,5,9,15,219.65,11.39,5.96
2010,5,9,16,163.27,11.23,6.02
2010,5,9,17,101.85,10.91,5.69
2010,5,9,18,40.78,10.36,4.62
2010,5,9,19,9.75,9.21,3.7
2010,5,9,20,0.0,8.42,3.91
2010,5,9,21,0.0,7.99,4.23
2010,5,9,22,0.0,7.38,4.21
2010,5,9,23,0.0,6.79,4.09
2010,5,10,0,0.0,6.1,3.92
2010,5,10,1,0.0,5.49,3.82
2010,5,10,2,0.0,4.94,3.79
2010,5,10,3,0.0,4.52,3.85
2010,5,10,4,0.0,4.42,3.83
2010,5,10,5,29.25,5.34,4.37
2010,5,10,6,113.1,6.45,4.64
2010,5,10,7,231.43,7.98,5.0
2010,5,10,8,356.5,9.2,5.47
2010,5,10,9,502.3,10.04,5.57
2010,5,10,10,558.85,10.79,5.56
2010,5,10,11,491.75,11.43,5.56
2010,5,10,12,548.2,11.79,5.47
2010,5,10,13,452.73,11.93,5.34
2010,5,10,14,444.3,12.13,5.19
2010,5,10,15,441.48,12.1,5.1
2010,5,10,16,326.2,11.93,4.98
2010,5,10,17,197.8,11.5,4.61
2010,5,10,18,84.97,10.66,3.6
2010,5,10,19,15.5,9.4,3.16
2010,5,10,20,0.0,8.73,3.44
2010,5,10,21,0.0,8.24,3.74
2010,5,10,22,0.0,7.91,3.83
2010,5,10,23,0.0,7.62,3.71
2010,5,11,0,0.0,7.31,3.45
2010,5,11,1,0.0,6.99,3.13
2010,5,11,2,0.0,6.73,2.9
2010,5,11,3,0.0,6.56,2.78
2010,5,11,4,0.0,6.47,2.82
2010,5,11,5,24.5,6.62,3.36
2010,5,11,6,80.8,6.75,3.88
2010,5,11,7,176.8,6.82,4.07
2010,5,11,8,277.15,6.98,4.03
2010,5,11,9,367.85,7.19,3.84
2010,5,11,10,523.75,7.61,3.62
2010,5,11,11,636.05,8.16,3.36
2010,5,11,12,669.15,8.81,3.11
2010,5,11,13,702.97,9.58,3.15
2010,5,11,14,618.38,9.77,3.6
2010,5,11,15,509.8,9.65,4.2
2010,5,11,16,391.0,9.54,4.73
2010,5,11,17,232.27,9.21,5.05
2010,5,11,18,102.38,8.56,4.8
2010,5,11,19,19.08,7.25,4.29
2010,5,11,20,0.0,6.33,4.35
2010,5,11,21,0.0,5.86,4.36
2010,5,11,22,0.0,5.35,4.26
2010,5,11,23,0.0,4.86,4.16
2010,5,12,0,0.0,4.44,4.06
2010,5,12,1,0.0,4.06,3.87
2010,5,12,2,0.0,3.83,3.63
2010,5,12,3,0.0,3.89,3.41
2010,5,12,4,0.0,3.84,3.31
2010,5,12,5,43.9,4.68,3.06
2010,5,12,6,131.7,6.04,3.54
2010,5,12,7,269.77,7.15,3.45
2010,5,12,8,407.77,8.17,3.18
2010,5,12,9,554.95,8.9,2.64
2010,5,12,10,639.83,9.46,1.94
2010,5,12,11,501.02,9.97,1.32
2010,5,12,12,572.35,10.35,0.84
2010,5,12,13,521.15,10.5,0.66
2010,5,12,14,543.75,10.42,1.0
2010,5,12,15,451.17,10.12,1.45
2010,5,12,16,333.08,9.67,1.84
2010,5,12,17,204.25,9.26,2.22
2010,5,12,18,88.22,8.72,2.21
2010,5,12,19,14.88,7.72,2.18
2010,5,12,20,0.0,6.97,2.31
2010,5,12,21,0.0,6.59,2.36
2010,5,12,22,0.0,6.26,2.33
2010,5,12,23,0.0,5.96,2.34
2010,5,13,0,0.0,5.67,2.33
2010,5,13,1,0.0,5.45,2.18
2010,5,13,2,0.0,5.39,1.83
2010,5,13,3,0.0,5.37,1.25
2010,5,13,4,0.0,5.51,0.74
2010,5,13,5,57.97,5.92,0.18
2010,5,13,6,173.55,6.75,0.49
2010,5,13,7,341.08,7.73,1.34
2010,5,13,8,497.83,8.31,2.01
2010,5,13,9,596.05,8.74,2.59
2010,5,13,10,726.95,9.15,2.99
2010,5,13,11,831.25,9.59,3.26
2010,5,13,12,839.9,9.97,3.54
2010,5,13,13,821.6,10.21,3.81
2010,5,13,14,738.7,10.43,3.92
2010,5,13,15,608.0,10.5,4.15
2010,5,13,16,443.25,10.33,4.47
2010,5,13,17,284.0,9.91,4.71
2010,5,13,18,132.48,9.1,4.44
2010,5,13,19,21.02,7.86,4.1
2010,5,13,20,0.0,7.19,4.45
2010,5,13,21,0.0,6.98,4.74
2010,5,13,22,0.0,6.85,4.91
